"taux_pvt";"taux_pvt";"taux_pvt";"taux_pvt";"taux_pvt";"taux_pvt";"taux_pvt";"intensite_pvt";"nb_dossiers_deposes";"nb_enf_famille_ss_empl";"tot_enf_moins18";"part_enf_famille_ss_empl";"pop_basrev_benef";"pop_15_64";"part_pop_basrev";"poids_presta_sociale_revenu_dispo";"agribio_nbexp";"agribio_scertif";"agribio_sconver";"agribio_stot";"saue";"agribio_part";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"agri_usa";"biodiv_sth_sexp";"biodiv_sth_shexp";"saut";"part_sth_biodiv";"nb_tues_routes";"pop_75";"pop";"part_pop75";"esper_vie";"esper_vie";"apadom";"apaetab";"pop75";"part_apa_plus75";"Eff_Diff";"Eff_Tot";"tx_jeunes_diff_lecture";"20_24_sortis_etudes_nondip";"20_24_sortis_etudes";"part_20_24_sortis_nondip";"sal_hor_net_femme";"sal_hor_net_femme";"sal_hor_net_femme";"sal_hor_net_femme";"sal_hor_net_femme";"sal_hor_net_femme";"sal_hor_net_femme";"sal_hor_net_femme";"sal_hor_net_homme";"sal_hor_net_homme";"sal_hor_net_homme";"sal_hor_net_homme";"sal_hor_net_homme";"sal_hor_net_homme";"sal_hor_net_homme";"sal_hor_net_homme";"ecart_sal_hor_net";"ecart_sal_hor_net";"ecart_sal_hor_net";"ecart_sal_hor_net";"ecart_sal_hor_net";"ecart_sal_hor_net";"ecart_sal_hor_net";"ecart_sal_hor_net";"actifs_occ";"actifs_occ";"actifs_occ";"actifs_occ";"actifs_occ";"actifs_occ";"actifs_occ";"actifs_occ";"pop";"pop";"pop";"pop";"pop";"pop";"pop";"pop";"taux_emp";"taux_emp";"taux_emp";"taux_emp";"taux_emp";"taux_emp";"taux_emp";"taux_emp";"ecart_tx_emp_f_h";"ecart_tx_emp_f_h";"ecart_tx_emp_f_h";"ecart_tx_emp_f_h";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"vol_prelev";"ESU_NIT_NB_TOT_CLAS1";"ESU_NIT_NB_TOT_CLAS2";"ESU_NIT_NB_TOT_CLAS3";"ESU_NIT_NB_TOT_CLAS4";"ESU_NIT_NB_TOT_CLAS5";"ESU_NIT_NB_TOT";"part_class_5_eau_sup_nit";"ESU_PES_NB_TOT_CLAS1";"ESU_PES_NB_TOT_CLAS2";"ESU_PES_NB_TOT_CLAS3";"ESU_PES_NB_TOT_CLAS4";"ESU_PES_NB_TOT_CLAS5";"ESU_PES_NB_TOT";"part_class_5_eau_sup_pes";"ESO_NIT_NB_TOT_CLAS1";"ESO_NIT_NB_TOT_CLAS2";"ESO_NIT_NB_TOT_CLAS3";"ESO_NIT_NB_TOT_CLAS4";"ESO_NIT_NB_TOT_CLAS5";"ESO_NIT_NB_TOT";"part_class_5_eau_sout_nit";"ESO_PES_NB_TOT_CLAS1";"ESO_PES_NB_TOT_CLAS2";"ESO_PES_NB_TOT_CLAS3";"ESO_PES_NB_TOT_CLAS4";"ESO_PES_NB_TOT_CLAS5";"ESO_PES_NB_TOT";"part_class_5_eau_sout_pes";"baign_nb_douce";"baign_nb_douce";"baign_nb_douce";"baign_nb_douce";"baign_nb_douce";"baign_nb_douce";"part_baign_douce";"part_baign_douce";"part_baign_douce";"part_baign_douce";"part_baign_douce";"baign_nb_mer";"baign_nb_mer";"baign_nb_mer";"baign_nb_mer";"baign_nb_mer";"baign_nb_mer";"part_baign_mer";"part_baign_mer";"part_baign_mer";"part_baign_mer";"part_baign_mer";"STEP_CAPA_TOT";"step_nb";"STEP_CAPA_CONF_OUI";"STEP_CAPA_CONF_NON";"step_taux_conform";"STEP_POLLU_TOT";"step_capacite";"taux_chom_bit";"taux_chom_bit";"taux_chom_bit";"taux_chom_bit";"taux_chom_bit";"taux_chom_bit";"actifs_occ";"actifs_occ";"actifs_occ";"actifs_occ";"pop";"pop";"pop";"pop";"taux_emp";"taux_emp";"taux_emp";"taux_emp";"chomeurs";"chomeurs";"chomeurs";"chomeurs";"chomeurs";"chomeurs";"chomeurs";"chomeurs";"chomeurs";"chomeurs";"chomeurs";"chomeurs";"actifs";"actifs";"actifs";"actifs";"actifs";"actifs";"actifs";"actifs";"actifs";"actifs";"actifs";"taux_chom_rp";"taux_chom_rp";"taux_chom_rp";"taux_chom_rp";"taux_chom_rp";"taux_chom_rp";"actifs";"taux_chom_rp";"taux_chom_rp";"taux_chom_rp";"taux_chom_rp";"taux_chom_rp";"taux_chom_rp";"emp_eco";"emp_eco";"emp_eco";"emp_eco";"emp_eco";"emp_eco";"emp_eco";"emp_eco";"emp_eco";"emp_eco";"emp_eco";"emp_eco";"emp_lt";"part_emp_eco";"part_emp_eco";"part_emp_eco";"part_emp_eco";"part_emp_eco";"part_emp_eco";"part_emp_eco";"part_emp_eco";"part_emp_eco";"part_emp_eco";"part_emp_eco";"part_emp_eco";"salaries_tp";"salaries";"part_tps_partiel";"chomeur_ld";"chomeurs_total";"part_chomeurs_ld";"salaries_form_parti";"salaries_horsform_lt";"part_salarie_form_parti";"emp_ess_tot";"eff_tot";"part_emp_ess";"emp_ess";"emp_ess";"emp_ess";"emp_ess";"etab_ess";"etab_ess";"etab_ess";"etab_ess";"etab_ess_tot";"part_etab_ess";"part_etab_ess";"part_etab_ess";"part_etab_ess";"18_25_non_inser";"pop_18_25";"part_jeunes_non_inseres";"moy_dist_min_hp";"moy_dist_min_hp";"moy_dist_km";"moy_dist_km";"med_dist_min_hp";"med_dist_min_hp";"med_dist_km";"med_dist_km";"nb_depl_dom_trav";"nb_depl_dom_trav";"nb_depl_dom_trav";"nb_depl_dom_trav";"nb_depl_dom_trav";"nb_depl_dom_trav";"nb_depl_dom_trav";"part_depl_dom_trav";"part_depl_dom_trav";"part_depl_dom_trav";"part_depl_dom_trav";"part_depl_dom_trav";"part_depl_dom_trav";"part_depl_dom_trav";"actifs_stables";"actifs_occ";"part_actifs_stables";"risq_tech_com";"risq_tech_com";"risq_tech_com";"risq_tech_com";"risq_tech_com";"risq_tech_com";"risq_tech_com";"niveau_vie_rap_interdec";"revenu_decl_median";"niveau_vie_median";"part_foy_fisc_impos";"nb_logement";"nb_sousoccupation_modere";"nb_sousoccupation_prononce";"nb_sousoccupation_tres_accentue";"taux_lgmt_sousoccupes";"nb_suroccupes_accentue";"nb_suroccupes_modere";"taux_lgmt_suroccupes";"surface_artific";"surface_tot_CLC";"part_sols_artific";"log_hlm_tot";"nb_resprinc";"part_pls";"nb_col_pls";"nb_ind_pls";"nb_etud_pls";"part_ind_pls";"log_hlm_phab";"nb_vacant_pls";"nb_dest_loc_pls";"taux_pls_vacant";"nb_pop_hlm";"pop_resprinc";"part_pop_hlm";"log";"log";"log";"log";"part_log";"part_log";"part_log";"part_log";"quantite_dd_prod";"nb_etab_prod_dd";"quantite_dd_trait";"nb_etab_trait_dd";"granul_prod";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"nb_etab_decla_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"coeff_dep_seuil_poll";"nb_com_catnat";"nb_com_catnat";"nb_com_catnat";"nb_com_catnat";"nb_com_catnat";"nb_com_catnat";"nb_com_catnat";"nb_com_catnat";"nb_com_catnat";"nb_com_catnat";"nb_com_catnat";"nb_catnat";"nb_catnat";"nb_catnat";"nb_catnat";"nb_catnat";"nb_catnat";"nb_catnat";"nb_catnat";"nb_catnat";"nb_catnat";"nb_catnat";"ppr_prescrit";"ppr_prescrit";"ppr_prescrit";"ppr_prescrit";"ppr_prescrit";"ppr_prescrit";"ppr_prescrit";"ppr_approuve";"ppr_approuve";"ppr_approuve";"ppr_approuve";"ppr_approuve";"ppr_approuve";"ppr_approuve";"ppr_anticip";"ppr_anticip";"ppr_anticip";"ppr_anticip";"ppr_anticip";"ppr_anticip";"ppr_anticip";"climat_dju_evol";"climat_dju_nb";"risq_nat_com";"risq_nat_com";"risq_nat_com";"risq_nat_com";"risq_nat_com";"risq_nat_com";"risq_nat_com";"risq_nat_com";"nb_barrage";"nb_barrage";"nb_barrage";"nb_barrage";"surf_peu_anthro";"part_peu_anthro";"ipr";"ipr";"ipr";"ipr";"ipr";"ipr";"ipr_tx_mediop";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC";"CLC_total";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"part_CLC";"CLC";"CLC";"part_CLC";"part_CLC";"var_CLC";"var_CLC";"var_CLC";"var_CLC";"var_CLC";"var_CLC";"var_CLC";"var_CLC";"var_CLC";"var_CLC";"nb_deld";"nb_deABC";"part_deld";"NB_EXPL_HVE";"taux_mort_infant";"apl_medgen_moins65";"pop_standard";"Surf_sols";"Surf_sols";"Surf_sols";"parc_vp";"parc_vp";"parc_vp";"parc_vp";"parc_vp";"parc_vp";"parc_vp";"parc_vp";"parc_vp";"parc_vp";"parc_vp";"parc_vp";"parc_vp";"parc_vp";"parc_vp";"parc_vp";"part_critair_1_0"
" ";"total";"moins30";"30_39";"40_49";"50_59";"60_74";"75plus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"aperm";"arables";"arom";"autre";"betind";"bois";"cerea";"choux";"fibr";"fleur";"fouran";"fruit";"inddiv";"jach";"jfame";"jfamh";"lande";"lfrais";"lsec";"olea";"pepin";"perm";"pote";"prairartif";"prot";"saue";"saut";"semen";"solartif";"sthe";"sthh";"stot";"vigne";"sucdom";"tdom";"";"";"";"";"";"";"";"";"homme";"femme";"";"";"";"";"";"";"";"";"";"";"age_1";"age_2";"age_3";"cs_3";"cs_4";"cs_5";"cs_6";"ens";"age_1";"age_2";"age_3";"cs_3";"cs_4";"cs_5";"cs_6";"ens";"age_1";"age_2";"age_3";"cs_3";"cs_4";"cs_5";"cs_6";"ens";"f_15_24";"f_25_54";"f_55_64";"f";"h_15_24";"h_25_54";"h_55_64";"h";"f_15_24";"f_25_54";"f_55_64";"f";"h_15_24";"h_25_54";"h_55_64";"h";"f_15_24";"f_25_54";"f_55_64";"h_15_24";"h_25_54";"h_55_64";"f";"h";"total";"15_24";"25_54";"55_64";"supe_aep";"supe_ind";"supe_irr";"supe_elec";"supe_can";"supe_hydro";"sout_aep";"sout_ind";"sout_irr";"sout_elec";"sout_can";"saum_ind";"saum_elec";"saum_can";"saum_aep";"saum_irr";"saum_hydro";"total";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"noncl";"excel";"bonne";"suffi";"insuf";"total";"noncl";"excel";"bonne";"suffi";"insuf";"noncl";"excel";"bonne";"suffi";"insuf";"total";"noncl";"excel";"bonne";"suffi";"insuf";"";"";"";"";"";"";"";"total";"homme";"femme";"15_24";"25_49";"plus50";"15_24";"25_54";"55_64";"total";"15_24";"25_54";"55_64";"total";"15_24";"25_54";"55_64";"total";"f_15_24";"f_25_54";"f_55_64";"h_15_24";"h_25_54";"h_55_64";"15_24";"25_54";"55_64";"h";"f";"total";"f_15_24";"f_25_54";"f_55_64";"h_15_24";"h_25_54";"h_55_64";"15_24";"25_54";"55_64";"h";"f";"f_15_24";"f_25_54";"f_55_64";"h_15_24";"h_25_54";"h_55_64";"total";"f";"h";"15_24";"25_54";"55_64";"total";"3600z";"3700z";"3811z";"3812z";"3821z";"3822z";"3831z";"3832z";"3900z";"4329a";"9104z";"total";"";"3600z";"3700z";"3811z";"3812z";"3821z";"3822z";"3831z";"3832z";"3900z";"4329a";"9104z";"total";"";"";"";"";"";"";"";"";"";"";"";"";"coop";"mutu";"asso";"fond";"coop";"mutu";"asso";"fond";"";"coop";"mutu";"asso";"fond";"";"";"";"act";"nav";"act";"nav";"act";"nav";"act";"nav";"tec";"voiture";"deux_roues";"velo";"deux_roues_mot";"pied";"sans_transp";"tec";"voiture";"deux_roues";"deux_roues_mot";"velo";"pied";"sans_transp";"";"";"";"Ami";"Bar";"Eng";"Ind";"Min";"Nuc";"Tmd";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"occas";"vac";"res_princ";"res_sec";"occas";"vac";"res_princ";"res_sec";"";"";"";"";"total";"Air_HCN";"Air_NH3";"Air_As";"Eau_As";"Eau_N";"Air_Cd";"Eau_Cd";"Air_HCI";"Air_CVM";"Eau_CVM";"Air_Cr";"Eau_Cr";"Eau_Cr6";"Air_COVNM";"Eau_AOX";"Air_Cu";"Eau_Cu";"Eau_CN";"Eau_DBO5";"Eau_DCO";"Air_DCM";"Eau_DCM";"Air_CO2";"Eau_Sn";"Eau_Fe";"Air_HF";"Eau_F";"Eau_HC";"Air_Mn";"Eau_Mn";"Eau_MES";"Air_Hg";"Eau_Hg";"Air_CO";"Air_Ni";"Eau_Ni";"Air_NOx";"Air_SOx";"Air_C";"Eau_C";"Eau_P";"Air_Pb";"Eau_Pb";"Air_N2O";"Air_TSP";"Eau_sulfates";"Air_H2S";"Eau_Ti";"Air_Zn";"Eau_Zn";"Air_HCN";"Air_NH3";"Air_As";"Eau_As";"Eau_N";"Air_Cd";"Eau_Cd";"Air_CVM";"Eau_CVM";"Air_Cr";"Eau_Cr";"Eau_Cr6";"Air_COVNM";"Eau_AOX";"Air_Cu";"Eau_Cu";"Eau_CN";"Eau_DBO5";"Eau_DCO";"Air_DCM";"Eau_DCM";"Air_CO2";"Eau_Sn";"Eau_Fe";"Air_HF";"Eau_F";"Eau_HC";"Air_Mn";"Eau_Mn";"Eau_MES";"Air_Hg";"Eau_Hg";"Air_CO";"Air_Ni";"Eau_Ni";"Air_NOx";"Air_SOx";"Air_C";"Eau_C";"Eau_P";"Air_Pb";"Eau_Pb";"Air_N2O";"Air_TSP";"Eau_sulfates";"Air_H2S";"Eau_Ti";"Air_Zn";"Eau_Zn";"atm";"ava";"temp82";"temp99";"inoi";"inom";"mvth";"mvts";"sei";"volc";"trop";"atm";"ava";"temp82";"temp99";"inoi";"inom";"mvth";"mvts";"sei";"volc";"trop";"atm";"ava";"feu";"ino";"mvt";"sei";"volc";"atm";"ava";"feu";"ino";"mvt";"sei";"volc";"atm";"ava";"feu";"ino";"mvt";"sei";"volc";"";"";"Atm";"Ava";"Feu";"Ino";"Mvt";"Rad";"Sei";"Vol";"classe_A";"classe_B";"classe_C";"tot";"";"";"bonne";"excel";"mauv";"medio";"tot";"trmau";"";"1";"11";"12";"13";"14";"2";"21";"22";"23";"24";"3";"31";"32";"33";"4";"41";"42";"5";"51";"52";"";"1";"11";"12";"13";"14";"2";"21";"22";"23";"24";"3";"31";"32";"33";"4";"41";"42";"5";"51";"52";"9";"99";"9";"99";"1_X";"1_2";"X_1";"X_2";"X_5";"1_3";"1_5";"X_3";"1_4";"X_4";"";"";"";"";"";"";"";"agri";"artif";"nat";"critair1_gaz";"critair1_essence";"critair1_esshybride";"critair1_gazolhybride";"critair2_gazol";"critair2_essence";"critair3_gazol";"critair3_essence";"critair4_gazol";"critair5_gazol";"critairE_elechydro";"critairnd_nd";"critairnd_gazol";"critairnd_essence";"critairnc_gazol";"critairnc_essence";""
"Ain";"10.3";"14.9";"11.8";"11.4";"10.1";"7.5";"7.2";"19.9";"1466";"10098.028726213";"152056.935795994";"6.64";"59892";"507375.329892607";"11.8";"4";"250";"10668";"5418";"16086";"237506";"6.77";"62";"164077";"24";"20700";"0";"212700";"88804";"36";"0";"54";"16840";"64";"0";"4733";"138";"1373";"15630";"1491";"0";"18670";"475";"1370";"437";"32440";"372";"237506";"267221";"38";"62250";"85000";"14600";"578501";"769";NA;NA;"85000";"14600";"267221";"37.27";"36";"51999.8345861749";"647634";"8.03";"80.7";"85.9";"5519";"5093";"52812";"20.09";"717";"7052";"10.17";"3263.50806310605";"21714.1759569676";"15.03";"9.55323322577294";"12.7916970300092";"13.7566578948274";"21.621226086718";"13.8901358883669";"10.7922458390263";"10.2751214695121";"12.6748291030778";"10.1956911760339";"15.2602523037559";"18.1154390876899";"26.663490062042";"16.2233823457188";"11.6815221629998";"11.8610548489758";"15.4202287263031";"-6.3";"-16.18";"-24.06";"-18.91";"-14.38";"-7.61";"-13.37";"-17.8";"10550.6399265312";"103385.185711296";"20870.7800069748";"134806.605644802";"14341.4887410226";"113275.265869537";"21769.9241529375";"149386.678763497";"32594.8834285915";"128862.028378699";"40444.9969182551";"201901.908725546";"35386.3604562412";"127758.140519134";"39101.1189475842";"202245.619922959";"32.37";"80.23";"51.6";"40.53";"88.66";"55.68";"66.77";"73.86";"-7.09";"-8.16";"-8.42999999999999";"-4.08";"0";"1338440";"13360260";"2981624000";"0";"79506833609";"56016669";"19363321";"17211453";"0";"0";"0";"0";"0";"0";"0";"0";"82595747752";"40";"38";"3";"0";"0";"81";"0";"2";"5";"5";"24";"3";"39";"7.69";"71";"29";"21";"1";"3";"125";"2.4";"2";"7";"12";"5";"1";"27";"3.7";"0";"18";"2";"0";"0";"20";"0";"90";"10";"0";"0";"0";"0";"0";"0";"0";"0";NA;NA;NA;NA;NA;"1654707";"514";"1414454";"240253";"85.48";"713484";"43.12";"64";"61";"66";"142";"61";"44";"24892.1286675538";"216660.451580833";"42640.7041599123";"284193.284408299";"67981.2438848328";"256620.168897833";"79546.1158658393";"404147.528648505";"36.62";"84.43";"53.61";"70.32";"2974.20973136224";"11764.683650629";"2129.14784541078";"3570.8002072333";"9304.89385378681";"1946.26502140506";"6545.00993859554";"21069.5775044158";"4075.41286681584";"14821.9590824252";"16868.041227402";"31690.0003098272";"13524.8496578934";"115149.869361925";"22999.9278523856";"17912.2889482559";"122580.159723324";"23716.1891743426";"31437.1386061494";"237730.029085249";"46716.1170267281";"164208.637845922";"151674.646872204";"21.99";"10.22";"9.26";"19.93";"7.59";"8.21";"315883.284718127";"11.12";"9.03";"20.82";"8.86";"8.72";"10.03";"512.793164382175";"195.756878070485";"164.865369716084";"10.0560802799648";"144.561313620092";"247.576315195844";"35.4460317101273";"420.024372142021";"21.1553142196003";"234.824598539858";"76.1792049551314";"2063.23864283138";"221218.551777789";"0.2318";"0.0885";"0.0745";"0.0045";"0.0653";"0.1119";"0.016";"0.1899";"0.0096";"0.1062";"0.0344";"0.9327";"42692.0543927847";"253358.652688742";"16.85";"11884.392655069";"31690.0003098272";"37.5";"23593.2586629959";"187020.112616878";"12.62";"21401";"187166";"11.43";"1958";"892";"18535";"16";"247";"77";"1647";"3";"1974";"12.51";"3.9";"83.43";"0.15";"9956.03795390957";"48611.2850159345";"20.48";"23.2942044395821";"30.6201790023563";"22.5821264979459";"30.2849377003886";"16";"22";"10.8";"16.7";"17940.1790395793";"236426.07247634";"8245.6121397508";"4580.20069676369";"3665.41144298712";"13502.1764226596";"11424.6631764446";"6.24";"82.22";"2.87";"1.27";"1.59";"4.7";"3.97";"67812.9303697318";"287538.703254774";"23.58";"0";"71";"0";"56";"0";"20";"202";"3.4";"23300";"23420";"53.6";"274683.306075273";"68106.2488044145";"67233.6670909145";"78293.4598783782";"77.77";"893.59179086576";"12339.005049786";"4.82";"43914.1418486049";"577484.180500518";"7.6";"44673";"274538.375367947";"16.27";"37085";"7588";"0";"16.99";"689.79";"1264";"43007";"2.94";"89353.2389981566";"634390.746502016";"14.08";"2640.70750448742";"25861.7783785373";"274538.375367947";"14942.2151961338";"0.83";"8.13";"86.34";"4.7";"60263";"115";"55150";"14";"5400000";"0";"17";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"12";"0";"0";"0";"0";"0";"1";"1";"0";"9";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"31.24";"0";"11.6";"0";"0";"4.2";"9.18";"2.92";"0";"0";"0";"31.39";"0";"0";"0";"0";"0";"1.35";"20.3";"0";"62.93";"0";"0";"0";"4.21";"0";"0";"0";"0";"0";"9.01";"0";"0";"3.38";"5.22";"5.02";"0";"1.35";"0";"0";"2";"0";"0";"0";"0";"0";"0";"6.44";"0";"0";"0";"0";"8";"0";"1";"110";"0";"0";"0";"0";"0";"0";"0";"9";"0";"1";"110";"0";"0";"0";"0";"0";"0";"134";"41";"0";"0";"0";"0";"0";"134";"41";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-9.57";"1924";"0";"10";"0";"247";"92";"0";"393";"0";"9";"23";"3";"35";"316154.157217234";"54.75";"10";"2";"7";"8";"32";"5";"62.5";"43914.16";"32668.73";"8008.28";"998.53";"2238.68";"308380.16";"132279.59";"887.12";"88972.1";"86241.37";"207246.44";"191343.42";"15229.64";"673.34";"1571.13";"1571.13";"0";"16372.22";"16372.22";"0";"577484.11";"7.60439278580323";"5.65707859909773";"1.38675330824254";"0.172910385361079";"0.387660882998149";"53.4006312312212";"22.906186977162";"0.15361807963859";"15.4068481641859";"14.9339814735335";"35.8878168959489";"33.1339714265038";"2.63723966361603";"0.1165988792315";"0.272064628756625";"0.272064628756625";"0";"2.83509445827003";"2.83509445827003";"0";NA;NA;NA;NA;"-5.48";"5.48";"605.63";"16.92";"9.8";NA;NA;NA;NA;NA;"18920";"44500";"42.52";"0";"3.2";"2.72214144493515";"629731.625295151";"265329";"57400";"255776";"1204";"60055";"494";"13";"101020";"29813";"75678";"41231";"46821";"12513";"774";"148";"0";"0";"11130";"18515";"16.92"
